road_type,speed_kmh,time_period
高速公路,89.0731150788088,高峰期
高速公路,120.0,低峰期
高速公路,98.18958772396097,高峰期
高速公路,117.74014638249842,平峰期
高速公路,92.17247001554334,低峰期
高速公路,86.58519398971437,平峰期
高速公路,89.2361846092955,低峰期
高速公路,74.57181597245615,高峰期
高速公路,100.63337567407744,低峰期
高速公路,76.19283318393026,平峰期
高速公路,92.24926083035699,低峰期
高速公路,107.10403932927824,高峰期
高速公路,120.0,低峰期
高速公路,93.2572016772998,平峰期
高速公路,107.22414112132064,高峰期
高速公路,104.83775500761628,平峰期
高速公路,82.35245818358048,低峰期
高速公路,120.0,平峰期
高速公路,78.47515594242114,低峰期
高速公路,91.81989252299131,高峰期
高速公路,119.08239506796855,平峰期
高速公路,118.58916485597646,平峰期
高速公路,90.28640796071323,低峰期
高速公路,109.80833495681256,平峰期
高速公路,85.52055327112889,平峰期
高速公路,80.22642219401884,高峰期
高速公路,65.7442185376312,低峰期
高速公路,104.47762730958561,低峰期
高速公路,106.58441862536912,高峰期
高速公路,78.64221408888676,高峰期
高速公路,95.36200067970469,低峰期
高速公路,120.0,高峰期
高速公路,112.93364600234729,高峰期
高速公路,71.97032114842277,高峰期
高速公路,110.03124559526776,低峰期
高速公路,72.06276437498639,高峰期
高速公路,32.0956337629063,平峰期
高速公路,89.59175713467742,平峰期
高速公路,120.0,低峰期
高速公路,117.94895920873883,高峰期
高速公路,97.5447033818531,平峰期
高速公路,79.16541173500211,低峰期
高速公路,99.72899367825293,平峰期
高速公路,84.61679659378179,高峰期
高速公路,79.72688616061379,低峰期
高速公路,111.24004404611142,平峰期
高速公路,79.47928440578814,低峰期
高速公路,112.54473112952152,平峰期
高速公路,78.15628076072375,平峰期
高速公路,120.0,高峰期
高速公路,57.187311194297614,高峰期
高速公路,70.86461336590864,平峰期
高速公路,86.89264531619355,低峰期
高速公路,50.31912193623874,低峰期
高速公路,38.580277144896684,高峰期
高速公路,50.49184766178783,平峰期
高速公路,84.15821579377983,高峰期
高速公路,84.66579980231774,平峰期
高速公路,96.65998962465731,平峰期
高速公路,86.05997036447316,高峰期
高速公路,95.99032929021698,低峰期
高速公路,80.99567171123195,高峰期
高速公路,104.29631514943362,平峰期
高速公路,101.88620006347044,高峰期
高速公路,83.46614760284962,低峰期
高速公路,100.6602286934478,低峰期
高速公路,86.18708128102661,平峰期
高速公路,59.55348169213789,高峰期
高速公路,108.08993282765243,低峰期
高速公路,71.86367906803142,高峰期
高速公路,107.87647910283535,低峰期
高速公路,96.48053544234047,平峰期
高速公路,88.30955381965755,平峰期
高速公路,52.46013209097828,高峰期
高速公路,120.0,平峰期
高速公路,82.73772277291823,低峰期
高速公路,102.69127174311166,平峰期
高速公路,87.72051753258438,低峰期
高速公路,84.57129328875224,低峰期
高速公路,93.8561567679398,平峰期
高速公路,90.53144566883694,低峰期
高速公路,84.66014419648425,低峰期
高速公路,88.89370882775695,高峰期
高速公路,98.54129312543421,高峰期
高速公路,99.9563835351659,高峰期
高速公路,90.86714425487858,平峰期
高速公路,102.41873979628878,高峰期
高速公路,81.51860391113827,低峰期
高速公路,120.0,平峰期
高速公路,119.71177216015562,平峰期
高速公路,105.24885989663223,平峰期
高速公路,51.16839012325899,平峰期
高速公路,102.12038277709964,低峰期
高速公路,83.26725834275891,低峰期
高速公路,70.42638537181294,高峰期
高速公路,82.75807899390361,平峰期
高速公路,72.6433053214116,高峰期
高速公路,100.13606187519012,低峰期
高速公路,120.0,平峰期
高速公路,106.52057583413564,低峰期
高速公路,120.0,高峰期
高速公路,58.92775140849191,低峰期
高速公路,79.87930591061786,平峰期
高速公路,71.13949615315379,平峰期
高速公路,114.58736628719717,高峰期
高速公路,85.58899286042924,平峰期
高速公路,93.79032392954508,低峰期
高速公路,102.67371063946118,低峰期
高速公路,60.904222989265165,低峰期
高速公路,77.57302073590006,低峰期
高速公路,109.94531907395829,高峰期
高速公路,79.03824198984161,低峰期
高速公路,55.72714061862616,高峰期
高速公路,71.95474224631504,低峰期
高速公路,84.27463892789469,高峰期
高速公路,93.33521039778857,低峰期
高速公路,88.5837338009896,低峰期
高速公路,77.71564316114052,高峰期
高速公路,108.7862687769694,平峰期
高速公路,87.41878126876182,平峰期
高速公路,94.18802723995847,平峰期
高速公路,78.78088045223136,高峰期
高速公路,120.0,平峰期
高速公路,82.16737789586278,平峰期
高速公路,91.49385733186521,高峰期
高速公路,110.6999888425376,平峰期
高速公路,95.6008452211992,平峰期
高速公路,95.10179392874963,平峰期
高速公路,50.52688981206773,高峰期
高速公路,103.6127000338777,高峰期
高速公路,91.1117388042698,平峰期
高速公路,100.831302063451,平峰期
高速公路,93.66426096737673,高峰期
高速公路,78.81684885754255,平峰期
高速公路,107.88614333099189,高峰期
高速公路,93.96253222559831,平峰期
高速公路,64.2122701791418,高峰期
高速公路,116.17034312692324,低峰期
高速公路,61.39040871225056,低峰期
高速公路,108.01858468501085,高峰期
高速公路,119.73863543860415,低峰期
高速公路,67.87409128073475,平峰期
高速公路,87.54476426524224,高峰期
高速公路,85.68103507731647,高峰期
高速公路,86.58057689638223,平峰期
高速公路,120.0,平峰期
高速公路,68.10562254165762,高峰期
高速公路,83.86865910242004,平峰期
高速公路,120.0,高峰期
高速公路,83.54102343321703,平峰期
高速公路,71.28440568267007,高峰期
高速公路,95.26029363539496,平峰期
高速公路,106.1128108341403,平峰期
高速公路,82.14318059703406,低峰期
高速公路,101.0873678161509,低峰期
高速公路,62.467698118508736,低峰期
高速公路,63.57945833162811,平峰期
高速公路,81.19827439494745,高峰期
高速公路,101.80034839983456,平峰期
高速公路,105.22995961970172,低峰期
高速公路,66.35967905083874,平峰期
高速公路,104.48841409465159,低峰期
高速公路,93.3301408086956,低峰期
高速公路,72.41590611097364,高峰期
高速公路,63.31623295954003,高峰期
高速公路,94.5964630980865,低峰期
高速公路,115.79126448330892,低峰期
高速公路,90.71044861555914,平峰期
高速公路,71.30158301187528,低峰期
高速公路,52.63955425841147,平峰期
高速公路,120.0,低峰期
高速公路,110.83701220639524,高峰期
高速公路,96.04153697543202,高峰期
高速公路,119.55987934530921,低峰期
高速公路,94.47838199507189,平峰期
高速公路,79.37926098764633,平峰期
高速公路,101.1026449010042,平峰期
高速公路,73.40548647464416,低峰期
高速公路,70.08704364293638,低峰期
高速公路,105.43214219214536,高峰期
高速公路,107.11517535128165,高峰期
高速公路,64.52523439025181,低峰期
高速公路,65.26404635116288,高峰期
高速公路,81.09900612733976,平峰期
高速公路,75.77390333640675,平峰期
高速公路,99.52977526330737,低峰期
高速公路,90.9609967553118,平峰期
高速公路,113.29812515273211,低峰期
高速公路,96.34515450467967,平峰期
高速公路,77.10846340656644,低峰期
高速公路,52.177422762271085,平峰期
高速公路,93.58911968554354,平峰期
高速公路,55.79343779527446,高峰期
高速公路,76.86089526158328,高峰期
高速公路,75.56546443806648,高峰期
高速公路,79.83145770233138,高峰期
高速公路,63.679314801462844,高峰期
高速公路,75.49446783780101,高峰期
高速公路,112.918091569036,低峰期
高速公路,112.86296975149865,低峰期
高速公路,120.0,高峰期
高速公路,90.20293051487549,低峰期
高速公路,95.42438257796492,高峰期
高速公路,113.21222835387316,低峰期
高速公路,60.58678086125765,平峰期
高速公路,106.11257013407402,低峰期
高速公路,116.0468944679131,低峰期
高速公路,72.22079347924752,低峰期
高速公路,117.65278291207319,平峰期
高速公路,120.0,高峰期
高速公路,105.55693341021657,低峰期
高速公路,101.89008737320248,低峰期
高速公路,67.60447901741483,平峰期
高速公路,111.38407858081848,高峰期
高速公路,69.48818694725774,低峰期
高速公路,97.39481605280727,平峰期
高速公路,99.4219021466205,高峰期
高速公路,24.074939760349405,高峰期
高速公路,98.11606767071503,低峰期
高速公路,120.0,低峰期
高速公路,48.16287155459057,低峰期
高速公路,88.9221601197373,低峰期
高速公路,51.05769246530762,平峰期
高速公路,72.11717122389646,平峰期
高速公路,51.404462903593924,低峰期
高速公路,93.19084653994435,高峰期
高速公路,105.87209606519188,低峰期
高速公路,98.19477265538184,高峰期
高速公路,71.39635061084856,高峰期
高速公路,77.81210486808145,高峰期
高速公路,95.44545372171278,平峰期
高速公路,72.02152019722159,高峰期
高速公路,63.42409782968716,高峰期
高速公路,85.21745879796077,平峰期
高速公路,71.10583581455185,高峰期
高速公路,98.23115834507286,高峰期
高速公路,115.97394800633835,低峰期
高速公路,120.0,高峰期
高速公路,96.761338242793,高峰期
高速公路,102.91944325639074,高峰期
高速公路,78.01365313411745,高峰期
高速公路,79.2524645155691,高峰期
高速公路,115.68112493081878,平峰期
高速公路,84.47344399706444,高峰期
高速公路,91.45894757211565,高峰期
高速公路,114.45951340256669,平峰期
高速公路,84.62745656226821,平峰期
高速公路,120.0,高峰期
高速公路,101.46058672102811,高峰期
高速公路,99.1079634195643,高峰期
高速公路,77.03621705865312,低峰期
高速公路,100.18251990100211,低峰期
高速公路,81.41908104267507,高峰期
高速公路,99.38817712391409,平峰期
高速公路,87.96349868479142,高峰期
高速公路,109.33619141968238,平峰期
高速公路,89.36457654406489,平峰期
高速公路,120.0,平峰期
高速公路,84.48906043208548,高峰期
高速公路,79.3085047595298,高峰期
高速公路,96.92227573602507,平峰期
高速公路,111.55742111654946,低峰期
高速公路,111.40196969654548,低峰期
高速公路,93.33562888804995,低峰期
高速公路,96.7817832160957,平峰期
高速公路,96.81076114744847,高峰期
高速公路,68.4425437274375,平峰期
高速公路,110.48146883532195,低峰期
高速公路,64.84287135758666,高峰期
